file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0098_0209_1263828_to_1266041,དོགས་པ་ག་རེ་ཡོད་ན་བཤད་རྐྱང་བྱེད་རོགས ,dogs pa ga re yod na bshad rkyang byed rogs_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0098_0209_1263828_to_1266041.wav,STT_MV,2,37,2.213,wav16k/STT_MV0098_0209_1263828_to_1266041.wav,དོགས་པ་ག་རེ་ཡོད་ནས་བཤད་རྐྱང་བྱེད་རོགས།
STT_MV0098_0210_1266041_to_1275579,དྲེ་ཧྲིང་། ལགས་ཡོད རྣམ་པ་གཉིས་དེ་སྔོན་ཉལ་ཁང་ནང་བཞག་ཤོག གྲ་སྒྲིག་བྱེད་ཀ་རྒྱུགས་ཤིག ལགས་སོ། གུས་པ་ཕྱིན་ཆོག་པ་བྱས། བཀའ་དྲིན་ཆེ།  ,dre hring /_lags yod_rnam pa gnyis de sngon nyal khang nang bzhag shog_gra sgrig byed ka rgyugs shig_lags so/_gus pa phyin chog pa byas/_bka' drin che/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0098_0210_1266041_to_1275579.wav,STT_MV,2,126,9.538,wav16k/STT_MV0098_0210_1266041_to_1275579.wav,ཁྲུའེ་ྲན། ལགས་ཡོད། རྣམ་པ་གཉིས་དེ་སྔའི་ཉལ་ཁང་ནང་ལ་ཞོག་ཤོག གྲ་སྒྲིག་བྱེད་ཀ་རྒྱུགས་ཤིག ལགས་སོ། གུས་པ་ཕྱིན་ཆོག་པ་བྱིས། བཀའ་དྲིན་ཆེ།
STT_MV0098_0211_1275579_to_1280616,ཡག་བྱུང་ཟེར་དགོས་མ་རེད། ཁྱེད་རང་གཉིས་ངའི་གྲོགས་པོ་རེད་པ། གཟབ་གཟབ་མ་བྱུང་པ་རེད་བསམ་བྱུང་།  ,yag byung zer dgos ma red/_khyed rang gnyis nga'i grogs po red pa/_gzab gzab ma byung pa red bsam byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0098_0211_1275579_to_1280616.wav,STT_MV,2,90,5.037,wav16k/STT_MV0098_0211_1275579_to_1280616.wav,ཡག་བྱུང་ཟེར་དགོས་མ་རེད། ཁྱེད་རང་གཉིས་ངའི་འབྲོ་པོ་རེད་པ། གཟབ་གཟབ་མ་བྱུང་པ་རེད་བསམ་བྱུང་།
STT_MV0098_0213_1296871_to_1303583,ཇོ་ལགས་རྣམ་གཉིས་ངས་བསམ་ཚུལ་ཏག་ཏག་བསྡད་མེད་པའི་ངོས་འཛིན་གནང་གི་ཡོད་པེ ,jo lags rnam gnyis ngas bsam tshul tag tag bsdad med pa'i ngos 'dzin gnang gi yod pe_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0098_0213_1296871_to_1303583.wav,STT_MV,2,69,6.712,wav16k/STT_MV0098_0213_1296871_to_1303583.wav,ཇོ་ལགས་རྣམ་གཉིས་ངའི་བསམ་ཚུལ་ཏག་ཏག་བསྡད་མེད་པའི་ངོས་འཛིན་གནང་གི་ཡོད་པེ།
STT_MV0098_0215_1309458_to_1314774,ཨ་ཙི་ཇོ་ལགས་བཀའ་མོལ་ཡོད་ན་གསུངས་ད། ཁྱེད་རང་གིས་ངའི་གཤིས་ཀ་རྒྱུས་ཡོད་རེད་བ ,a tsi jo lags bka' mol yod na gsungs da/_khyed rang gis nga'i gshis ka rgyus yod red ba_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0098_0215_1309458_to_1314774.wav,STT_MV,2,74,5.316,wav16k/STT_MV0098_0215_1309458_to_1314774.wav,ཨ་ཙི། ཇོ་ལགས་ བཀའ་མོལ་ཡིན་ན་གསུངས་ད། ཁྱེད་རང་གིས་ངའི་གཤིས་ཀ་རྒྱུས་ཡོད་རེད་པ།
STT_MV0098_0216_1314774_to_1319782,ང་ཡང་ཁྱེད་རང་གཉིས་ཀིས་བསམ་འཆར་ཉན་འདོད་འདུག ཁྱེད་རང་གཉིས་ཀིས ,nga yang khyed rang gnyis kis bsam 'char nyan 'dod 'dug_khyed rang gnyis kis_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0098_0216_1314774_to_1319782.wav,STT_MV,2,60,5.008,wav16k/STT_MV0098_0216_1314774_to_1319782.wav,ང་ཡེ་ཁྱེད་རང་གཉིས་ཀི་བསམ་འཆར་ཉན་འདོད་འདུག ཁྱེད་རང་གཉིས་ཀིས་
STT_MV0098_0217_1319782_to_1326423,ང་ཁོང་དང་སྤམ་པོ་མེད་པ་རྩི་གི་ཡོད་པེ། རང་ངེད་གཉིས་ཀི་གཅུང་མོ་སོང་ཙང་མི་སུ་གང་ལ་མ་སྤམ་པ་ཡོད་མ་རེད ,nga khong dang spam po med pa rtsi gi yod pe/_rang nged gnyis ki gcung mo song tsang mi su gang la ma spam pa yod ma red_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0098_0217_1319782_to_1326423.wav,STT_MV,2,96,6.641,wav16k/STT_MV0098_0217_1319782_to_1326423.wav,ང་ཁོང་དང་སྤམ་པོ་མེད་པར་བརྩི་གི་ཡོད་པེ། རང་ངེད་གཉིས་ཀི་གཅུང་མོ་སོང་ཙང་མི་སུ་གང་ལ་མ་སྤང་པ་ཡོད་མ་རེད།
STT_MV0331_0158_1260415_to_1263417,ང་ཡ་མཚན་པོ་ཞེ་བོ་ཞིག་བྱུང་།  ,nga ya mtshan po zhe bo zhig byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0331_0158_1260415_to_1263417.wav,STT_MV,2,29,3.002,wav16k/STT_MV0331_0158_1260415_to_1263417.wav,ང་ཡ་མཚན་པོ་ཞེ་པོ་ཞིག་བྱུང་།
STT_MV0331_0161_1274133_to_1276866,རྣམ་འགྱུར་གྲང་ཤུར་ཤུར་དེ་འདྲའི་བསྟན་དགོས་ཡ་ཨ་ཡོད།  ,rnam 'gyur grang shur shur de 'dra'i bstan dgos ya a yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0331_0161_1274133_to_1276866.wav,STT_MV,2,51,2.733,wav16k/STT_MV0331_0161_1274133_to_1276866.wav,རྣམ་འགྱུར་གྲང་ཤུག་ཤུག་འདི་འདྲས་བསྟན་དགོས་ཡ་ཨ་ཡོད།
STT_AB00323_0533_2203438_to_2205145,དྲི་མེད་རྣམ་ཤེས་སྤྱོད་ཡུལ་ལོ།  ,dri med rnam shes spyod yul lo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0533_2203438_to_2205145.wav,STT_AB,2,31,1.707,wav16k/STT_AB00323_0533_2203438_to_2205145.wav,དྲི་མེད་རྣམ་ཤེས་སྤྱོད་ཡུལ་ལོ།
STT_TT00853_0382_2461502_to_2463806,ཨ་བསླབ་བཏུས་ནང་ལོགས་ལ་གསུངས་རེད་བ།  ,a bslab btus nang logs la gsungs red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00853_0382_2461502_to_2463806.wav,STT_TT,2,36,2.304,wav16k/STT_TT00853_0382_2461502_to_2463806.wav,ཨ། བསླབ་བཏུས་ནང་ལོགས་ལ་གསུངས་རེད་བ།
STT_TT00853_0385_2471966_to_2474590,དམིགས་བསལ་གལ་ཆེན་པོ་རྩི་དགོས་ཡ་དེ། ང་ཟེར་དུས་ཉེ་བོ་ཆགས།  ,dmigs bsal gal chen po rtsi dgos ya de/_nga zer dus nye bo chags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00853_0385_2471966_to_2474590.wav,STT_TT,2,57,2.624,wav16k/STT_TT00853_0385_2471966_to_2474590.wav,དམིགས་བསལ་གལ་ཆེན་པོ་བརྩི་དགོས་ཡ་དེ། ང་ཟེར་དུས་ཉེ་རོ་ཆགས།
STT_TT00856_0073_447353_to_456803,ཨེ་ནས། དེ་འདྲས་བྱས་ནས་བསྒོམས་པ་ཡིན་ན། སྒོམ་སྒོམ་སྒོམ་སྟངས་དེ་ལ་བརྟེན་ནས། མཐར་ཆོས་ཐམས་ཅད་མཁྱེན་པ་ཟེར་ཡ་དེ་ག་འདྲས་སེ་ཡོང་གི་རེད་ཟེ། ཆོས་ཐམས་ཅད་མཁྱེན་པ་རྣམ་མཁྱེན།  ,e nas/_de 'dras byas nas bsgoms pa yin na/_sgom sgom sgom stangs de la brten nas/_mthar chos thams cad mkhyen pa zer ya de ga 'dras se yong gi red ze/_chos thams cad mkhyen pa rnam mkhyen/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00856_0073_447353_to_456803.wav,STT_TT,2,161,9.45,wav16k/STT_TT00856_0073_447353_to_456803.wav,ཨེ་ནས། དེ་འདྲའི་བྱས་ནས་གོམས་པ་ཡིན་ན། སྒོམ།སྒོམ སྒོམ་སྟངས་དེ་ལ་བརྟེན་ནས། མཐར་ཆོས་ཐམས་ཅད་མཁྱེན་པ་ཟེར་ཡ་དེ་ག་འདྲས་སེ་ཡོང་གི་རེད་ཟེ། ཆོས་ཐམས་ཅད་མཁྱེན་པ་རྣམ་མཁྱེན།
STT_TT00853_0386_2475441_to_2481347,ཨེ་ནས་གཞན་ཟེར་དུས་ཐག་རིང་པོ་ཆགས་ནས་འདི་ཡིན་ས་རེད་ཟེ། ད་དེ་ནང་བཞིན་བྱས་ནས་དཔེ་སྦྱར་བ་ཡིན་ན། ད་འདི་ཚུར་ཕྱོགས་རེད་བ།  ,e nas gzhan zer dus thag ring po chags nas 'di yin sa red ze/_da de nang bzhin byas nas dpe sbyar ba yin na/_da 'di tshur phyogs red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00853_0386_2475441_to_2481347.wav,STT_TT,2,115,5.906,wav16k/STT_TT00853_0386_2475441_to_2481347.wav,ཨེ་ནས་ གཞན་ཟེར་དུས་ཐག་རིང་པོ་ཆགས་ནས་འདི་ཡིན་ས་རེད་ཟེ། ད་དེ་ནང་བཞིན་བྱས་ནས་དཔེ་སྦྱར་བ་ཡིན་ན། ད་དེ་ཚུར་ཕྱོགས་རེད་བ།
STT_AB00171_0477_1951817_to_1954155,སྡུག་བསྔལ་དང་དུ་ལེན་པའི་བཟོད་པ།  ,sdug bsngal dang du len pa'i bzod pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00171_0477_1951817_to_1954155.wav,STT_AB,2,33,2.338,wav16k/STT_AB00171_0477_1951817_to_1954155.wav,སྡུག་བསྔལ་དང་དུ་ལེན་པའི་བཟོད་པ།
